TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;23/06/01
TIME;17:02:01
SPECTROMETER/DATA SYSTEM;
LOCALE;3082
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;TRANSMITTANCE
FIRSTX;  399,1927
LASTX; 5000,5148
NPOINTS;    4773
FIRSTY;    53,07034
MAXY;    70,53202
MINY;    -0,00000
XYDATA
399,1927;53,0703
400,1569;53,8676
401,1211;55,209
402,0854;56,4607
403,0496;57,4002
404,0138;58,1177
404,9781;58,8239
405,9423;59,6575
406,9065;60,5555
407,8708;61,2678
408,8350;61,5206
409,7992;61,2111
410,7635;60,4947
411,7277;59,7005
412,6919;59,1212
413,6562;58,8387
414,6204;58,711
415,5846;58,4741
416,5489;57,8579
417,5131;56,7139
418,4773;55,1998
419,4416;53,8429
420,4058;53,1569
421,3700;53,1927
422,3343;53,6696
423,2985;54,3312
424,2627;55,061
425,2270;55,8222
426,1912;56,5842
427,1554;57,3014
428,1197;57,9392
429,0839;58,5016
430,0481;59,0219
431,0124;59,5212
431,9766;59,9638
432,9408;60,2527
433,9051;60,2781
434,8693;59,999
435,8335;59,4992
436,7978;58,9641
437,7620;58,5817
438,7262;58,4458
439,6905;58,531
440,6547;58,7304
441,6189;58,9082
442,5832;58,9396
443,5474;58,7425
444,5116;58,302
445,4759;57,6792
446,4401;56,9942
447,4043;56,3858
448,3686;55,9622
449,3328;55,7634
450,2970;55,7589
451,2613;55,8883
452,2255;56,1149
453,1897;56,4406
454,1540;56,859
455,1182;57,2837
456,0824;57,5258
457,0467;57,3885
458,0109;56,8663
458,9751;56,2665
459,9394;56,0534
460,9036;56,535
461,8678;57,7005
462,8321;59,2821
463,7963;60,9046
464,7605;62,2229
465,7248;63,0206
466,6890;63,2449
467,6532;62,9638
468,6175;62,29
469,5817;61,3408
470,5459;60,2519
471,5102;59,1925
472,4744;58,321
473,4386;57,6951
474,4029;57,235
475,3671;56,7994
476,3313;56,3029
477,2956;55,7686
478,2598;55,2926
479,2240;54,9633
480,1883;54,7968
481,1525;54,7367
482,1167;54,7174
483,0810;54,7327
484,0452;54,8439
485,0094;55,1129
485,9737;55,5207
486,9379;55,9596
487,9021;56,31
488,8664;56,533
489,8306;56,7037
490,7948;56,9636
491,7591;57,419
492,7233;58,0505
493,6875;58,7074
494,6518;59,1925
495,6160;59,3628
496,5802;59,1726
497,5445;58,6555
498,5087;57,8917
499,4729;57,0017
500,4372;56,1552
501,4014;55,546
502,3656;55,3028
503,3299;55,3821
504,2941;55,5543
505,2583;55,5287
506,2226;55,1369
507,1868;54,443
508,1510;53,705
509,1153;53,2067
510,0795;53,0723
511,0437;53,1989
512,0080;53,3541
512,9722;53,3525
513,9365;53,1824
514,9007;53,0078
515,8649;53,0616
516,8292;53,4983
517,7934;54,2997
518,7576;55,302
519,7219;56,3265
520,6861;57,2895
521,6503;58,1965
522,6146;59,0556
523,5788;59,8112
524,5430;60,3525
525,5073;60,594
526,4715;60,5585
527,4357;60,3703
528,4000;60,1472
529,3642;59,9007
530,3284;59,5463
531,2927;59,0102
532,2569;58,3334
533,2211;57,6838
534,1854;57,2498
535,1496;57,0906
536,1138;57,0717
537,0781;56,9577
538,0423;56,5931
539,0065;56,0238
539,9708;55,4602
540,9350;55,1175
541,8992;55,0691
542,8635;55,2244
543,8277;55,4353
544,7919;55,632
545,7562;55,8722
546,7204;56,2636
547,6846;56,8354
548,6489;57,4807
549,6131;58,0259
550,5773;58,3596
551,5416;58,506
552,5058;58,5822
553,4700;58,6881
554,4343;58,8308
555,3985;58,9443
556,3627;58,9702
557,3270;58,9147
558,2912;58,824
559,2554;58,7113
560,2197;58,518
561,1839;58,1576
562,1481;57,607
563,1124;56,9525
564,0766;56,3375
565,0408;55,852
566,0051;55,4624
566,9693;55,053
567,9335;54,5491
568,8978;54,0149
569,8620;53,6256
570,8262;53,5293
571,7905;53,7222
572,7547;54,0496
573,7189;54,3253
574,6832;54,4726
575,6474;54,577
576,6116;54,8054
577,5759;55,2539
578,5401;55,855
579,5043;56,4215
580,4686;56,7843
581,4328;56,9075
582,3970;56,8913
583,3613;56,8701
584,3255;56,8925
585,2897;56,8836
586,2540;56,7133
587,2182;56,3052
588,1824;55,6937
589,1467;54,9885
590,1109;54,2865
591,0751;53,6005
592,0394;52,8654
593,0036;52,0119
593,9678;51,0422
594,9321;50,0341
595,8963;49,0746
596,8605;48,1873
597,8248;47,3175
598,7890;46,3881
599,7532;45,3786
600,7175;44,3585
601,6817;43,4379
602,6459;42,6758
603,6102;42,0262
604,5744;41,3704
605,5386;40,6067
606,5029;39,7219
607,4671;38,7859
608,4313;37,8728
609,3956;36,9785
610,3598;36,0067
611,3240;34,8338
612,2883;33,3955
613,2525;31,7271
614,2167;29,9353
615,1810;28,1394
616,1452;26,4316
617,1094;24,8777
618,0737;23,5328
619,0379;22,4352
620,0021;21,5777
620,9664;20,8897
621,9306;20,2653
622,8948;19,6299
623,8591;19,003
624,8233;18,5088
625,7875;18,3134
626,7518;18,5286
627,7160;19,1502
628,6802;20,0765
629,6445;21,1824
630,6087;22,3863
631,5729;23,6635
632,5372;25,0078
633,5014;26,3861
634,4656;27,73
635,4299;28,9769
636,3941;30,1198
637,3583;31,216
638,3226;32,338
639,2868;33,5057
640,2510;34,6574
641,2153;35,6902
642,1795;36,5382
643,1437;37,2243
644,1080;37,8399
645,0722;38,4651
646,0364;39,0967
647,0007;39,6425
647,9649;39,9908
648,9291;40,098
649,8934;40,0203
650,8576;39,8596
651,8218;39,6718
652,7861;39,4234
653,7503;39,0363
654,7145;38,4811
655,6788;37,8327
