TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;23/05/31
TIME;15:05:34
SPECTROMETER/DATA SYSTEM;
LOCALE;3082
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;TRANSMITTANCE
FIRSTX;  399,1927
LASTX; 5000,5148
NPOINTS;    4773
FIRSTY;    47,70026
MAXY;    68,57675
MINY;     0,77291
XYDATA
399,1927;47,7003
400,1569;47,8006
401,1211;47,3479
402,0854;46,7931
403,0496;46,4914
404,0138;46,601
404,9781;47,0924
405,9423;47,7992
406,9065;48,5128
407,8708;49,0904
408,8350;49,4998
409,7992;49,7807
410,7635;49,9838
411,7277;50,1563
412,6919;50,3731
413,6562;50,7625
414,6204;51,489
415,5846;52,7048
416,5489;54,4718
417,5131;56,6205
418,4773;58,6005
419,4416;59,6617
420,4058;59,5178
421,3700;58,6269
422,3343;57,6463
423,2985;56,9581
424,2627;56,6517
425,2270;56,655
426,1912;56,8375
427,1554;57,0819
428,1197;57,3301
429,0839;57,5892
430,0481;57,8976
431,0124;58,2715
431,9766;58,667
432,9408;58,9818
433,9051;59,0966
434,8693;58,9321
435,8335;58,4862
436,7978;57,8292
437,7620;57,068
438,7262;56,315
439,6905;55,6802
440,6547;55,2673
441,6189;55,1376
442,5832;55,2467
443,5474;55,4141
444,5116;55,4002
445,4759;55,0636
446,4401;54,4634
447,4043;53,8113
448,3686;53,3208
449,3328;53,0785
450,2970;53,0135
451,2613;52,9765
452,2255;52,87
453,1897;52,7359
454,1540;52,7362
455,1182;53,0455
456,0824;53,7216
457,0467;54,6161
458,0109;55,395
458,9751;55,7266
459,9394;55,5209
460,9036;54,9866
461,8678;54,4704
462,8321;54,2644
463,7963;54,4971
464,7605;55,1041
465,7248;55,8765
466,6890;56,5859
467,6532;57,1182
468,6175;57,5158
469,5817;57,8992
470,5459;58,3445
471,5102;58,8124
472,4744;59,1857
473,4386;59,3865
474,4029;59,4547
475,3671;59,5092
476,3313;59,649
477,2956;59,8952
478,2598;60,2032
479,2240;60,5066
480,1883;60,7522
481,1525;60,9047
482,1167;60,9367
483,0810;60,832
484,0452;60,6074
485,0094;60,325
485,9737;60,0635
486,9379;59,864
487,9021;59,7017
488,8664;59,5103
489,8306;59,2338
490,7948;58,8651
491,7591;58,4409
492,7233;58,0018
493,6875;57,5551
494,6518;57,0792
495,6160;56,5613
496,5802;56,0296
497,5445;55,5503
498,5087;55,196
499,4729;55,0098
500,4372;54,9781
501,4014;55,0236
502,3656;55,0236
503,3299;54,8625
504,2941;54,4958
505,2583;53,9827
506,2226;53,4618
507,1868;53,0792
508,1510;52,9069
509,1153;52,8999
510,0795;52,9316
511,0437;52,8878
512,0080;52,7469
512,9722;52,584
513,9365;52,5052
514,9007;52,5725
515,8649;52,7725
516,8292;53,0433
517,7934;53,3319
518,7576;53,6262
519,7219;53,9357
520,6861;54,2486
521,6503;54,5182
522,6146;54,685
523,5788;54,7095
524,5430;54,5904
525,5073;54,3615
526,4715;54,0727
527,4357;53,7657
528,4000;53,4597
529,3642;53,1502
530,3284;52,8164
531,2927;52,4339
532,2569;51,9914
533,2211;51,5027
534,1854;51,0024
535,1496;50,5214
536,1138;50,0613
537,0781;49,5932
538,0423;49,0848
539,0065;48,5334
539,9708;47,9731
540,9350;47,4488
541,8992;46,9828
542,8635;46,5655
543,8277;46,176
544,7919;45,8083
545,7562;45,4755
546,7204;45,1904
547,6846;44,9453
548,6489;44,7179
549,6131;44,4982
550,5773;44,3041
551,5416;44,1674
552,5058;44,1035
553,4700;44,0958
554,4343;44,1143
555,3985;44,1486
556,3627;44,2233
557,3270;44,3785
558,2912;44,6352
559,2554;44,9798
560,2197;45,3769
561,1839;45,7942
562,1481;46,2139
563,1124;46,6287
564,0766;47,0373
565,0408;47,4534
566,0051;47,9168
566,9693;48,484
567,9335;49,1916
568,8978;50,0178
569,8620;50,8828
570,8262;51,6952
571,7905;52,4066
572,7547;53,0264
573,7189;53,5908
574,6832;54,1197
575,6474;54,5995
576,6116;55,0032
577,5759;55,3198
578,5401;55,5604
579,5043;55,7374
580,4686;55,8458
581,4328;55,8721
582,3970;55,821
583,3613;55,7266
584,3255;55,6293
585,2897;55,5371
586,2540;55,412
587,2182;55,1973
588,1824;54,8609
589,1467;54,4124
590,1109;53,8801
591,0751;53,2739
592,0394;52,5746
593,0036;51,763
593,9678;50,8568
594,9321;49,9114
595,8963;48,9795
596,8605;48,0695
597,8248;47,1437
598,7890;46,1575
599,7532;45,1065
600,7175;44,0374
601,6817;43,0143
602,6459;42,0725
603,6102;41,2026
604,5744;40,3737
605,5386;39,5666
606,5029;38,7848
607,4671;38,0404
608,4313;37,3317
609,3956;36,638
610,3598;35,9291
611,3240;35,1766
612,2883;34,3542
613,2525;33,437
614,2167;32,4132
615,1810;31,3083
616,1452;30,1996
617,1094;29,1956
618,0737;28,3795
619,0379;27,7594
620,0021;27,2691
620,9664;26,8236
621,9306;26,3816
622,8948;25,9726
623,8591;25,6808
624,8233;25,6056
625,7875;25,8284
626,7518;26,3942
627,7160;27,3042
628,6802;28,5091
629,6445;29,9085
630,6087;31,3714
631,5729;32,7787
632,5372;34,0628
633,5014;35,217
634,4656;36,2677
635,4299;37,2341
636,3941;38,1127
637,3583;38,8941
638,3226;39,5877
639,2868;40,2225
640,2510;40,8218
641,2153;41,3785
642,1795;41,8599
643,1437;42,2359
644,1080;42,5058
645,0722;42,6954
646,0364;42,8333
647,0007;42,9335
647,9649;43,0014
648,9291;43,0509
649,8934;43,1047
650,8576;43,1707
651,8218;43,2215
652,7861;43,2069
653,7503;43,0956
654,7145;42,9084
